"GSS_CODE","proportion_brownfield"
"E05000405",0.0012720036900032
"E05000414",0.0495739687399574
"E05000401",0.000345588425267257
"E05000400",0
"E05000402",0.0590948913843439
"E05000406",0.00518022621307442
"E05000404",0
"E05000413",0.0203028576971691
"E05000410",0
"E05000412",0.0443747300912641
"E05000408",0.0371508645582517
"E05000403",0.0368059879944866
"E05000409",0.0265361977426978
"E05000407",0.00083112361367892
"E05000411",0
"E05000415",0
"E05000150",0.00176807849919757
"E05000162",0.00172371053970112
"E05000151",0.0314918283075931
"E05000167",0.0275203977904558
"E05000156",0.00838893301513853
"E05000159",0.0229617876596407
"E05000160",0.00392983023528296
"E05000155",0.000358911185204233
"E05000153",0.0601279663104596
"E05000149",0.0600901605157056
"E05000168",0.0139497629104787
"E05000148",0.0277576891424898
"E05000158",0.00416564795128824
"E05000157",0.00309989607096132
"E05000152",0.00268165169965252
"E05000154",0.00309729091491776
"E05000163",0.00475280935043837
"E05000161",0.0129989495454743
"E05000147",0.00671660195782001
"E05000169",0.00302895090911633
"E05000165",0.000621456028840473
"E05000166",0.00876335937645976
"E05000164",0.00568355328062368
"E05000146",0.0147604109455983
"E05000117",0.00205260083707761
"E05000119",0.00490773007661345
"E05000108",0.0324439352427924
"E05000110",0.000704343285496754
"E05000107",0.00429932429623879
"E05000127",0.000534236966370286
"E05000112",0.0045489125314405
"E05000120",0.0017784404205237
"E05000118",0.00248032274120575
"E05000126",0.00154983990151743
"E05000109",0.0423980480992922
"E05000106",0.00462855831313741
"E05000124",0.00061109599720921
"E05000116",0.0774727972239772
"E05000123",0.00266698164944905
"E05000113",0.0070595211792714
"E05000125",0.00910511656345546
"E05000111",0.0324654375434202
"E05000121",0.000429375299590495
"E05000122",0.00905965147780578
"E05000115",0.00689506654425015
"E05000114",0.00347640356089996
"E05000346",0.0305695257024416
"E05000353",0.000361372116133399
"E05000350",0.00778856254569685
"E05000364",0.0736815404830302
"E05000357",0.0341119595233592
"E05000356",0.00140725113352155
"E05000363",0
"E05000347",0.0371526197528055
"E05000348",0.00518528422807318
"E05000352",0
"E05000354",0.00308912161338622
"E05000351",0.0061240841589691
"E05000359",0.0105873234430176
"E05000361",0.0204604508809668
"E05000355",0.00923275843299772
"E05000360",0.00144655248634648
"E05000362",0.00590010621294691
"E05000358",0.0248632060458946
"E05000349",0.00353885963089691
"E05000365",0.00342858328308042
"E05000186",0.0904744768883641
"E05000190",0.0554191123705178
"E05000185",0
"E05000172",0.00831302533216227
"E05000177",0.0173477070355674
"E05000183",0
"E05000182",0
"E05000175",0.029355303657796
"E05000189",0.267233952273345
"E05000176",0.0291640810304609
"E05000192",0.0231599977000015
"E05000181",0
"E05000184",0
"E05000180",0.00285856525155998
"E05000171",0
"E05000178",0.0195552752150757
"E05000187",0.0105239023542544
"E05000174",6.97572867265866e-05
"E05000173",0.0406016867210977
"E05000188",0.0035244243405441
"E05000191",0.00166474837663249
"E05000170",0.00169180530680263
"E05000179",0.0164562730271744
"E05000323",0.0103825631307283
"E05000318",0.0476011777224308
"E05000321",0.0960945817078207
"E05000308",0.00284665220578068
"E05000306",0.0524238866832498
"E05000319",0.00393571088379348
"E05000316",0.000482106676558684
"E05000317",0.00184664843944383
"E05000311",0.0633159485714804
"E05000320",0.00040622248911168
"E05000309",0.00361826942965132
"E05000322",0
"E05000312",0.0210327325317103
"E05000307",0.000332011081991251
"E05000313",0.00231593280072334
"E05000314",0.0359723587852427
"E05000310",0.000324462412860104
"E05000315",0.000428974490908024
"E05000331",0.000140698866744971
"E05000330",0.000323482863542362
"E05000342",0
"E05000345",0.00452673880037998
"E05000341",0.0515724795661293
"E05000326",0.000832730056887342
"E05000340",0.00184226646089521
"E05000332",0.0268446460258061
"E05000333",0
"E05000343",0
"E05000335",0
"E05000338",0.00691782190996876
"E05000334",0
"E05000329",0.00954901082900813
"E05000336",0
"E05000337",0.00810563098218968
"E05000325",0.00665060117717704
"E05000328",0
"E05000339",0.00555353969776204
"E05000324",0
"E05000344",0
"E05000327",0
"E05000302",0.00201389216225252
"E05000289",0.00326665333726058
"E05000297",0.000360183304515823
"E05000298",0
"E05000288",0.0509282088112603
"E05000292",0
"E05000296",0.0182742094779315
"E05000290",0
"E05000303",0.000368920361240344
"E05000286",0.0207878031775983
"E05000300",0
"E05000301",0.00859949450199938
"E05000305",0.00197206645543791
"E05000291",0.0113944081835879
"E05000293",0.000836540181639423
"E05000295",6.72152049255824e-06
"E05000304",0.00569355764511884
"E05000285",0.0036878060531332
"E05000294",0.00933548976261493
"E05000299",2.25690640582786e-05
"E05000287",0.0206200713361474
"E05000096",0.0710117499153075
"E05000104",0.0280614595868947
"E05000097",0.00368219735673738
"E05000100",0.0951019495378731
"E05000103",0.000578954368864922
"E05000086",0.0136133894561287
"E05000090",0.0020120013209674
"E05000101",0.0249646662966631
"E05000085",0.0915270362454136
"E05000092",0.00184428960734278
"E05000091",0.0205959903233194
"E05000105",0.00538227384536806
"E05000098",0.00981319788627966
"E05000087",0.00112253141055679
"E05000094",0.0378950386564877
"E05000102",0.0710391568084221
"E05000093",0.0124931738258814
"E05000089",0.0370025485096467
"E05000088",0.0325076465652243
"E05000095",0.00120374661476414
"E05000099",0.0480462422172256
"E05000060",0.00213306993448257
"E05000056",0.0163841787004693
"E05000062",0.0644876049359692
"E05000053",0.101221634236006
"E05000046",0.211162597326035
"E05000045",0.00554100633272316
"E05000052",0.0151887141201055
"E05000051",0.0099333852820104
"E05000049",0.00260554406625249
"E05000050",0.0296153691183915
"E05000057",0.0309133354108261
"E05000054",0.00509596679009124
"E05000059",0.00143171160553271
"E05000058",0.00488158959019963
"E05000063",0.00172333538841537
"E05000047",0.00420378138888631
"E05000043",0.0526020600131491
"E05000048",0.0151102909604745
"E05000044",0.0259229916495158
"E05000055",0.0071960102019427
"E05000061",0.00987735843088558
"E05000431",0.0055581993974448
"E05000428",0.0273200321069304
"E05000432",0.00785755011415286
"E05000424",0.0341210115444052
"E05000433",0.00486361277330361
"E05000430",0.0193595168589894
"E05000418",0.010748603875064
"E05000417",0.0585499084003651
"E05000435",0.0160828577392569
"E05000420",0.0418180956233406
"E05000421",0.0389580491406293
"E05000425",0.0422712282827705
"E05000426",0.13067185407552
"E05000436",0.0210305516782036
"E05000422",0.0126162833845385
"E05000434",0.0116290094934282
"E05000423",0.0230379613620062
"E05000416",0.102123208952799
"E05000419",0.0143316305581156
"E05000429",0.0333080003667317
"E05000427",0.078781420875626
"E05000538",0.000590833302754592
"E05000548",0.0291184014099894
"E05000554",1.88451699280812e-05
"E05000551",0.000781604391409074
"E05000539",0.0289824673471113
"E05000547",0.00224946796346966
"E05000535",0.0227559037050522
"E05000534",0.00917453406786183
