"GSS_CODE","Road_Lnight_London_>=70.0","Road_LAeq_16h_London_>=75.0","Road_Lden_London_>=75.0","Rail_Lnight_London_50.0-54.9","Road_Lnight_London_50.0-54.9","Rail_LAeq_16h_London_55.0-59.9","Rail_Lnight_London_55.0-59.9","Rail_Lden_London_55.0-59.9","Road_Lnight_London_55.0-59.9","Road_LAeq_16h_London_55.0-59.9","Road_Lden_London_55.0-59.9","Rail_Lden_London_60.0-64.9","Rail_LAeq_16h_London_60.0-64.9","Rail_Lnight_London_60.0-64.9","Road_Lnight_London_60.0-64.9","Road_LAeq_16h_London_60.0-64.9","Road_Lden_London_60.0-64.9","Road_Lnight_London_65.0-69.9","Rail_Lnight_London_65.0-69.9","Rail_Lden_London_65.0-69.9","Rail_LAeq_16h_London_65.0-69.9","Road_LAeq_16h_London_65.0-69.9","Road_Lden_London_65.0-69.9","Rail_Lden_London_70.0-74.9","Road_LAeq_16h_London_70.0-74.9","Road_Lden_London_70.0-74.9","Rail_Lden_London_>=75.0","Rail_LAeq_16h_London_70.0-74.9","Rail_Lnight_London_>=70.0","Rail_LAeq_16h_London_>=75.0"
"E05000405",0,0.00452859424314925,0.00683312514344361,0.00421092653085339,0.115762332420092,0.00261202252448703,0,0.00227973306011529,0.0466876133924963,0.163561726905932,0.223762125900706,0.00407850745754027,0.0029529453345266,0,0.0230826186313686,0.060841664157693,0.0872233805182402,0.00734651263417405,0,0,0,0.0333151760645409,0.0411559614283333,0,0.0162638394845404,0.0211210860654854,0,0,0,0
"E05000414",0.00309781463702855,0.0275517903790127,0.0380057659670707,0.0164675489451822,0.088604519756114,0.0167349217055093,0.000231243658708,0.0267832412954578,0.0482364103496219,0.114038908744368,0.151443861784293,0.0163026779391025,0.0134506728149103,0,0.0411999959649561,0.0636481151271477,0.0770525553234591,0.0373401959802092,0,3.85406097732368e-05,0,0.0399283064259512,0.0446875551492934,0,0.0407358509268392,0.0406371160721859,0,0,0,0
"E05000401",0,1.18671830680805e-05,0.000735243949622796,0.0201679647727294,0.0117340335697449,0.0228516848521577,0.0155048446443737,0.0301105521609224,0.0117516663300213,0.0149443344207888,0.0213006608751928,0.0181420734035111,0.015915197373423,0.0143281460047874,0.0111356992945732,0.0108244141757222,0.0111498301223334,0.000889255984619763,0.0219184681858964,0.014036353963884,0.0133652100989873,0.0112940823861313,0.0114356030028927,0.0153966952773795,0.00825268952587816,0.0103257106262085,0.0185801414211106,0.0266853150851251,0,4.78326296329336e-05
"E05000400",0.0083695806614527,0.0218199656998575,0.0306378485830432,0.0181273287447539,0.0524277689923311,0.0129882080929445,0.00163872235374672,0.0170775419877746,0.0310147514895973,0.0792196523153394,0.113134421481733,0.0165734419864996,0.0115455438558976,0,0.0180113134907554,0.0376466847676912,0.0455287665200307,0.0233140092434613,0,7.44873797259647e-05,0,0.0225636445458125,0.0272750761790498,0,0.0213309504737058,0.0174987632390691,0,0,0,0
"E05000402",0,0,0.00340395435069985,0.0765109758299034,0.018642618663815,0.0848271399927456,0.0532522040136006,0.103158600535245,0.0110402616145779,0.0808551705605344,0.152176340335885,0.0661373613118309,0.0571571901869604,0.0341962409591042,0.0159480760343765,0.0130217054194081,0.0143405477826938,0.00447553798500193,0.033550871224247,0.0508440054568238,0.0385428517863429,0.0108463431090435,0.0110754779866274,0.0260825982596888,0.0155028985945485,0.0160080551055151,0.0286126491543488,0.0374974342177981,0,0
"E05000406",0.00083678560920305,0.019369281124082,0.0269733507001317,0.000568382030936386,0.0993470510482182,0.000545766203658584,0.00121047258799504,0.00059988883685985,0.0739732784611308,0.120730244494462,0.147054673513743,0.000432069966030706,0.00131294572880657,0.000125808523901722,0.0569213330995098,0.0796594128439315,0.0911202058005406,0.0276518255177361,0,0.00122196312705999,7.19555828174166e-07,0.0651243308616654,0.071306602030739,0,0.0449397195893385,0.0524316972531025,0,0,0,0
"E05000404",0.000987092436793119,0.00559655187513,0.0138848705062188,0.0129028607686047,0.146437871836123,0.0130994953932328,0.000103637435908177,0.0155018016038019,0.0551084999120528,0.169921868025884,0.150774178262968,0.0124883110250994,0.0094310066662404,0,0.0332762812229766,0.0865490160482982,0.123181100642995,0.0137613836961354,0,0.000103637435885072,0,0.0397325188878217,0.0486813330464115,0,0.0300789886117627,0.0314868631637666,0,0,0,0
"E05000413",0,0.00017439095996266,0.00349413226468251,0.0125104166427707,0.0351727658533314,0.0116682804176013,0.0125409474887402,0.013705067783467,0.0313778883253217,0.044089554412569,0.0616903937593185,0.0131506993224472,0.013748485768752,0.00706996046401227,0.0403973770029477,0.0296092230483434,0.0328621931859468,0.00439089703588408,0.0119580073389315,0.0107279352188119,0.00787871539179434,0.0323355516738006,0.0311267785327761,0.00708918587491267,0.031739627588588,0.0380419235210541,0.0100178765611922,0.0134448792831211,0,0.000135866169770824
"E05000410",0.00411575419122521,0.00728504328382711,0.00889435858504566,0.0362855167288111,0.0414313002611604,0.0289458115240031,0.025635608359258,0.0399953961156674,0.0244878414800037,0.051399023773375,0.0673875408277559,0.0362565089825314,0.0397307210953458,0.00750270221121468,0.0200761200844764,0.0329354277966398,0.0371689290649454,0.00514726377590802,0,0.0256938895943687,0.00884861297592606,0.0197774552183428,0.0232492753903529,0.000222203428770795,0.0150323513228191,0.0186030621337743,0,0,0,0
"E05000412",0,0,7.26869269839397e-05,0.0646289991496884,0.0541179610438688,0.0605215626854206,0.0446715767399344,0.0469730004218685,0.0258815126109697,0.0579027547254915,0.0550083930591977,0.0669085577395607,0.0549063174947272,0.0226783212209311,0.0276587316496224,0.0352361925246218,0.0464483886855412,0.00138105161278999,0.0339680401075245,0.0322054220468557,0.0226635380592393,0.0224536763624903,0.0242320845700349,0.0252509308223566,0.0214957484240746,0.0272014670872501,0.027543023375808,0.0397072095152514,0,0.00014847167883566
