New.ward.code,month,mean_ndvi
E05000026,2013-04,0.2913059378691568
E05000027,2013-04,0.45658786065647866
E05000028,2013-04,0.40448789362801246
E05000029,2013-04,0.46194525592292207
E05000030,2013-04,0.485947910008575
E05000031,2013-04,0.40144799708465795
E05000032,2013-04,0.29136004689382583
E05000033,2013-04,0.4495239543877991
E05000034,2013-04,0.5072844725687544
E05000035,2013-04,0.44609796832664705
E05000036,2013-04,0.5073762606701865
E05000037,2013-04,0.4720834013873341
E05000038,2013-04,0.1757883636722053
E05000039,2013-04,0.21650136194714448
E05000040,2013-04,0.40939174567881403
E05000041,2013-04,0.5047105615376085
E05000042,2013-04,0.36783334530440354
E05000043,2013-04,0.45293889657057645
E05000044,2013-04,0.4259725004881612
E05000045,2013-04,0.4156441618161985
E05000046,2013-04,0.34949938193489566
E05000047,2013-04,0.43724064267075424
E05000048,2013-04,0.4820868285606864
E05000049,2013-04,0.47293116644417654
E05000050,2013-04,0.44552925631360935
E05000051,2013-04,0.4495184573006798
E05000052,2013-04,0.5361736063766787
E05000053,2013-04,0.3829619784606499
E05000054,2013-04,0.5143890799394818
E05000055,2013-04,0.41384845752951877
E05000056,2013-04,0.5703300768764031
E05000057,2013-04,0.5454197184896243
E05000058,2013-04,0.47652776676747205
E05000059,2013-04,0.6002834226792174
E05000060,2013-04,0.5250640691175139
E05000061,2013-04,0.3905312601265817
E05000062,2013-04,0.3996146551078126
E05000063,2013-04,0.4166813317046614
E05000064,2013-04,0.5218252566753895
E05000065,2013-04,0.30851792591953914
E05000066,2013-04,0.4390409690383615
E05000067,2013-04,0.4710632460746829
E05000068,2013-04,0.42825810115904756
E05000069,2013-04,0.41844197977164926
E05000070,2013-04,0.4586536882132973
E05000071,2013-04,0.44240071702937983
E05000072,2013-04,0.5657027791517346
E05000073,2013-04,0.48092668239453906
E05000074,2013-04,0.4864057965669986
E05000075,2013-04,0.17277793683342602
E05000076,2013-04,0.37551850943018733
E05000077,2013-04,0.49052940781777
E05000078,2013-04,0.49693281910115344
E05000079,2013-04,0.32712059014487954
E05000080,2013-04,0.42819149902697984
E05000081,2013-04,0.5279567926017048
E05000082,2013-04,0.42342998318100056
E05000083,2013-04,0.4928216099537631
E05000084,2013-04,0.3193224249561848
E05000085,2013-04,0.3328166394927015
E05000086,2013-04,0.47940323935166956
E05000087,2013-04,0.42174965389405966
E05000088,2013-04,0.3784480978094371
E05000089,2013-04,0.34606354274941037
E05000090,2013-04,0.5001948896219995
E05000091,2013-04,0.2977600957276942
E05000092,2013-04,0.32977375440760404
E05000093,2013-04,0.4740604086515674
E05000094,2013-04,0.2838676909538133
E05000095,2013-04,0.38128305858930356
E05000096,2013-04,0.477630339437409
E05000097,2013-04,0.399015318424087
E05000098,2013-04,0.36098359564389365
E05000099,2013-04,0.37657690923370346
E05000100,2013-04,0.27857784685948844
E05000101,2013-04,0.4708141276527023
E05000102,2013-04,0.2973398621093638
E05000103,2013-04,0.37748595248493033
E05000104,2013-04,0.361570746656903
E05000105,2013-04,0.3727153270917252
E05000106,2013-04,0.5190025036476886
E05000107,2013-04,0.45073147205825415
E05000108,2013-04,0.5478421302278762
E05000109,2013-04,0.4568632331867139
E05000110,2013-04,0.5508958221446733
E05000111,2013-04,0.5909734928918067
E05000112,2013-04,0.4443549872874036
E05000113,2013-04,0.5044000148536547
E05000114,2013-04,0.47588726860615227
E05000115,2013-04,0.5143465217231168
E05000116,2013-04,0.5087739568657047
E05000117,2013-04,0.5923879585941945
E05000118,2013-04,0.5412263396522454
E05000119,2013-04,0.5857761206781026
E05000120,2013-04,0.524204942652536
E05000121,2013-04,0.5391531611574786
E05000122,2013-04,0.5089838303113727
E05000123,2013-04,0.4587050049669005
E05000124,2013-04,0.5053726075478902
E05000125,2013-04,0.549646072059177
E05000126,2013-04,0.5151617947019946
E05000127,2013-04,0.5361006164280516
E05000128,2013-04,0.34938422046000583
E05000129,2013-04,0.16016427672741274
E05000130,2013-04,0.2666710441116104
E05000131,2013-04,0.29699474612503274
E05000132,2013-04,0.3627691330546395
E05000133,2013-04,0.3956908855232175
E05000134,2013-04,0.30400573818079135
E05000135,2013-04,0.4751448457388751
E05000136,2013-04,0.29318742801818287
E05000137,2013-04,0.5553977477382671
E05000138,2013-04,0.15255616628599045
E05000139,2013-04,0.24157871766728345
E05000140,2013-04,0.30370111089486435
E05000141,2013-04,0.20365029288271916
E05000142,2013-04,0.3076524525673317
E05000143,2013-04,0.17593068862786393
E05000144,2013-04,0.3985500439594937
E05000145,2013-04,0.2654733652171259
E05000146,2013-04,0.3599985487344636
E05000147,2013-04,0.49307932286141437
E05000148,2013-04,0.37905452912241805
E05000149,2013-04,0.2541447353621859
E05000150,2013-04,0.5663615362840224
E05000151,2013-04,0.5266579059679349
E05000152,2013-04,0.5021242505778328
E05000153,2013-04,0.444833470532702
E05000154,2013-04,0.4950116454943431
E05000155,2013-04,0.5920159456750889
E05000156,2013-04,0.5760009373566249
E05000157,2013-04,0.5136660315518248
E05000158,2013-04,0.4833234007281687
E05000159,2013-04,0.5133213853937438
E05000160,2013-04,0.5637140243990153
E05000161,2013-04,0.33444977013961974
E05000162,2013-04,0.5725065288249578
E05000163,2013-04,0.507280273019811
E05000164,2013-04,0.46741258408565767
E05000165,2013-04,0.39058706884327343
E05000166,2013-04,0.4833811907810538
E05000167,2013-04,0.4780384873217151
E05000168,2013-04,0.36515059422017637
E05000169,2013-04,0.47066467550606794
E05000170,2013-04,0.36582669509998694
E05000171,2013-04,0.47519629934882
E05000172,2013-04,0.4962907975199225
E05000173,2013-04,0.37824943479676376
E05000174,2013-04,0.44402523582581344
E05000175,2013-04,0.263023486818977
E05000176,2013-04,0.4116462809850416
E05000177,2013-04,0.4402219759740958
E05000178,2013-04,0.35157729782967845
E05000179,2013-04,0.4497883588860146
E05000180,2013-04,0.501528440438085
E05000181,2013-04,0.39413372386816
E05000182,2013-04,0.3985564494735665
E05000183,2013-04,0.531804967110225
E05000184,2013-04,0.4589629421790054
E05000185,2013-04,0.5157534160852821
E05000186,2013-04,0.4798972236425669
E05000187,2013-04,0.44466755333635305
E05000188,2013-04,0.32369981539946974
E05000189,2013-04,0.25327932980340295
E05000190,2013-04,0.29567882564282955
E05000191,2013-04,0.323438826442567
E05000192,2013-04,0.38517766349956306
E05000193,2013-04,0.39070916218737695
E05000194,2013-04,0.46896856331385023
E05000195,2013-04,0.5209629971523121
E05000196,2013-04,0.5101900306493183
E05000197,2013-04,0.3446590339322228
E05000198,2013-04,0.32732427164479566
E05000199,2013-04,0.4317950828120838
E05000200,2013-04,0.4989978927683173
E05000201,2013-04,0.41131967162966804
E05000202,2013-04,0.48425014490827956
E05000203,2013-04,0.36973894423639936
E05000204,2013-04,0.3296007290386577
E05000205,2013-04,0.377765350266363
E05000206,2013-04,0.304326820627515
E05000207,2013-04,0.4012428627142956
E05000208,2013-04,0.461002515866924
E05000209,2013-04,0.46651014093006515
E05000210,2013-04,0.4247775563683005
E05000211,2013-04,0.45612125576604473
E05000212,2013-04,0.3025221036342183
E05000213,2013-04,0.4847908789594433
E05000214,2013-04,0.4880487073974789
E05000215,2013-04,0.46709230074651875
E05000216,2013-04,0.4496929489328077
E05000217,2013-04,0.4968387802651676
E05000218,2013-04,0.4757623512434473
E05000219,2013-04,0.5787150954334057
E05000220,2013-04,0.43823417782558177
E05000221,2013-04,0.3274178837382031
E05000222,2013-04,0.3910533051060305
E05000223,2013-04,0.4955485679468098
E05000224,2013-04,0.5480211836580865
E05000225,2013-04,0.1098014591522178
E05000226,2013-04,0.4467258805612033
E05000227,2013-04,0.5603697909673183
E05000228,2013-04,0.27644540260084727
E05000229,2013-04,0.4183826189527077
E05000230,2013-04,0.15099401676881952
