New.ward.code,annual_ndvi_2013,months_with_data
E05000026,0.3302126530439245,3
E05000027,0.4540855361920717,3
E05000028,0.41456272981616976,3
E05000029,0.524575939084874,3
E05000030,0.5239150187248386,3
E05000031,0.4146564548818112,3
E05000032,0.3247920510698877,3
E05000033,0.44589781760538294,3
E05000034,0.4969711304184447,3
E05000035,0.46019936794253363,3
E05000036,0.5022018772605241,3
E05000037,0.4591071590547471,3
E05000038,0.2127672525081011,3
E05000039,0.25600719513276876,3
E05000040,0.41857503825043335,3
E05000041,0.5348048458292841,3
E05000042,0.39015998362015103,3
E05000043,0.5123941718446686,3
E05000044,0.48296049312975486,3
E05000045,0.47086105926662797,3
E05000046,0.412725293903002,3
E05000047,0.5106477886002797,3
E05000048,0.559186831272846,3
E05000049,0.5485074486521514,3
E05000050,0.5556217230956904,3
E05000051,0.5145926420362931,3
E05000052,0.6069103086533177,3
E05000053,0.4287828679197414,3
E05000054,0.6030948518083269,3
E05000055,0.4794672104346123,3
E05000056,0.6617329871726201,3
E05000057,0.6165211490497123,3
E05000058,0.5429166045444818,3
E05000059,0.6700428994856361,3
E05000060,0.6101649305576053,3
E05000061,0.47147786197833025,3
E05000062,0.4530817572293034,3
E05000063,0.48273513058196443,3
E05000064,0.546796095052193,3
E05000065,0.36647033958223063,3
E05000066,0.4754237859113208,3
E05000067,0.5003837991412169,3
E05000068,0.4598202741008373,3
E05000069,0.4590089638832849,3
E05000070,0.46885386927422035,3
E05000071,0.5533689523901807,3
E05000072,0.6220355802882759,3
E05000073,0.509637198040676,3
E05000074,0.5142601676051332,3
E05000075,0.2262253208941706,3
E05000076,0.4119088871763026,3
E05000077,0.5524232760567641,3
E05000078,0.5488332260082777,3
E05000079,0.3689725524589713,3
E05000080,0.43930284455431773,3
E05000081,0.5922903705275159,3
E05000082,0.44279126558590653,3
E05000083,0.536053016159483,3
E05000084,0.3827011730670708,3
E05000085,0.3624030689447444,3
E05000086,0.5338505169032319,3
E05000087,0.481710781492857,3
E05000088,0.41117693883541456,3
E05000089,0.3829199563043901,3
E05000090,0.5428986653213309,3
E05000091,0.3591181655835458,3
E05000092,0.370721210324035,3
E05000093,0.5084190734471606,3
E05000094,0.3531314093500981,3
E05000095,0.44180559601343194,3
E05000096,0.5205175219831498,3
E05000097,0.4521280829558629,3
E05000098,0.4171077759584447,3
E05000099,0.41406727941500904,3
E05000100,0.31997858620716807,3
E05000101,0.5184675391241885,3
E05000102,0.3319407981674271,3
E05000103,0.42436236632721963,3
E05000104,0.40598639096130756,3
E05000105,0.40588195997964877,3
E05000106,0.5862569581403497,3
E05000107,0.6263191785134903,3
E05000108,0.6338991039937119,3
E05000109,0.5122079091684367,3
E05000110,0.6693122151063832,3
E05000111,0.6814961765000606,3
E05000112,0.5019482465458132,3
E05000113,0.5679191374641371,3
E05000114,0.5872570707374107,3
E05000115,0.5510298783864198,3
E05000116,0.5669537060355762,3
E05000117,0.7121382024777644,3
E05000118,0.6277951401392566,3
E05000119,0.6721471610881125,3
E05000120,0.5871790325086489,3
E05000121,0.5863935613303526,3
E05000122,0.5601241074528629,3
E05000123,0.5076380052403219,3
E05000124,0.590703294025379,3
E05000125,0.607933081391454,3
E05000126,0.580399273517118,3
E05000127,0.5974546290078018,3
E05000128,0.44459485198920007,3
E05000129,0.22798331996571616,3
E05000130,0.33533090448945363,3
E05000131,0.386222032703658,3
E05000132,0.44561216798471603,3
E05000133,0.49723926668850454,3
E05000134,0.39405335204851566,3
E05000135,0.6116381233296762,3
E05000136,0.38459645888931077,3
E05000137,0.6455570533929248,3
E05000138,0.20910765966926062,3
E05000139,0.3174868794695688,3
E05000140,0.37765881245911753,3
E05000141,0.2945095274462806,3
E05000142,0.37507818124057013,3
E05000143,0.23719227213404803,3
E05000144,0.473184606245238,3
E05000145,0.3559056735722365,3
E05000146,0.42723540316202246,3
E05000147,0.5283979384731555,3
E05000148,0.41293425704407816,3
E05000149,0.30211473776567227,3
E05000150,0.6881443859621873,3
E05000151,0.6036802334913788,3
E05000152,0.5826624974168108,3
E05000153,0.5144787678431926,3
E05000154,0.5314261087054363,3
E05000155,0.6761484428873947,3
E05000156,0.6676120460084775,3
E05000157,0.5727320589265555,3
E05000158,0.5118646409248115,3
E05000159,0.5873448150339698,3
E05000160,0.665143919694197,3
E05000161,0.3942861649212495,3
E05000162,0.67491190360855,3
E05000163,0.5651582263800478,3
E05000164,0.5345588404051501,3
E05000165,0.4479096770307022,3
E05000166,0.5351844611227617,3
E05000167,0.507327048501757,3
E05000168,0.4050780156083961,3
E05000169,0.5150411520519516,3
E05000170,0.41506355719220817,3
E05000171,0.524750280724263,3
E05000172,0.525027083495667,3
E05000173,0.45985707794722147,3
E05000174,0.5018129016738633,3
E05000175,0.31722774248031954,3
E05000176,0.4725707143251055,3
E05000177,0.4792645532390692,3
E05000178,0.41335933086441257,3
E05000179,0.5014156741510903,3
E05000180,0.5476742046731756,3
E05000181,0.4141717916902927,3
E05000182,0.45103070992918365,3
E05000183,0.5957440356583716,3
E05000184,0.5142415674708603,3
E05000185,0.5668035545276084,3
E05000186,0.5059258954169144,3
E05000187,0.4865041761452291,3
E05000188,0.40188388274843473,3
E05000189,0.30246038493529337,3
E05000190,0.3201842117022043,3
E05000191,0.3899804967693132,3
E05000192,0.45799574720084507,3
E05000193,0.4470288531783972,3
E05000194,0.5057461219562369,3
E05000195,0.6284196775553275,3
E05000196,0.6148499800719942,3
E05000197,0.3830570944343124,3
E05000198,0.3618992714838496,3
E05000199,0.5020705176811369,3
E05000200,0.5628996442477886,3
E05000201,0.4506390859592642,3
E05000202,0.5860109994628704,3
E05000203,0.401427393285634,3
E05000204,0.36677728879809696,3
E05000205,0.4313423069766773,3
E05000206,0.3522800105749196,3
E05000207,0.42035192309318714,3
E05000208,0.5325517201094079,3
E05000209,0.5122483643880987,3
E05000210,0.47431531585167913,3
E05000211,0.49084867238989177,3
E05000212,0.3500918850182639,3
E05000213,0.5466000132403807,3
E05000214,0.549937001305989,3
E05000215,0.5378652673687683,3
E05000216,0.4954205175166839,3
E05000217,0.5261051444223057,3
E05000218,0.5356260677914338,3
E05000219,0.6190668848823836,3
E05000220,0.4714749807700415,3
E05000221,0.3731757062086807,3
E05000222,0.429203058125655,3
E05000223,0.5214519614890462,3
E05000224,0.5725978603119688,3
E05000225,0.151067671877866,3
E05000226,0.4857076829685864,3
E05000227,0.6384426331593009,3
E05000228,0.3437606563447016,3
E05000229,0.48693072340575294,3
E05000230,0.21298824016282522,3
E05000231,0.3988148008645758,3
E05000232,0.36154910483061453,3
E05000233,0.31942917636066676,3
E05000234,0.36765736785637676,3
E05000235,0.32105100403316805,3
E05000236,0.3410587188962595,3
E05000237,0.3449020171011445,3
E05000238,0.4391870440000331,3
E05000239,0.2762778279256419,3
E05000240,0.331264785449566,3
E05000241,0.5458237710534019,3
E05000242,0.4147225576880252,3
E05000243,0.5053537925343613,3
E05000244,0.3900352264624611,3
E05000245,0.38452605235154524,3
E05000246,0.44958070355507,3
E05000247,0.3481165457284199,3
E05000248,0.4016587772026048,3
E05000249,0.3940672377470853,3
E05000250,0.3079074794095034,3
E05000251,0.3630859120541208,3
E05000252,0.33250498188782873,3
E05000253,0.42956495689982593,3
E05000254,0.27971020765910215,3
E05000255,0.34383457878333185,3
E05000256,0.2757900829065478,3
E05000257,0.3033206730095397,3
E05000258,0.27972441720128594,3
E05000259,0.3823955175862093,3
E05000260,0.3365179950798831,3
E05000261,0.3906122368737313,3
E05000262,0.22772622066559425,3
E05000263,0.2926608979219137,3
E05000264,0.2681320270236537,3
E05000265,0.4219364986554752,3
E05000266,0.5791612964684251,3
E05000267,0.4392876443167162,3
E05000268,0.35387867620463137,3
E05000269,0.5246059107127006,3
E05000270,0.5380342878967302,3
E05000271,0.4520801666602741,3
E05000272,0.594151359435087,3
E05000273,0.3901396739974727,3
E05000274,0.550221472669376,3
E05000275,0.3194165431901777,3
E05000276,0.36984008193977697,3
E05000277,0.3996151994003813,3
E05000278,0.36437527458613256,3
E05000279,0.4507254126296618,3
E05000280,0.35042237019851247,3
E05000281,0.40278185102087843,3
E05000282,0.4705468126487382,3
E05000283,0.4613486551273138,3
E05000284,0.4286665948539112,3
E05000285,0.5082164844432703,3
E05000286,0.6228967887965514,3
E05000287,0.4331384477100875,3
E05000288,0.4158844380593105,3
E05000289,0.619803192646947,3
E05000290,0.6521907383025517,3
E05000291,0.611519837559429,3
E05000292,0.6098926317785022,3
E05000293,0.48889531121384183,3
E05000294,0.4404142792194891,3
E05000295,0.46940061826020846,3
E05000296,0.40543900997665255,3
E05000297,0.609198685888792,3
E05000298,0.5732463035329761,3
E05000299,0.45183486894755037,3
E05000300,0.4768247019493321,3
E05000301,0.46097793117430513,3
E05000302,0.49930878630511816,3
E05000303,0.635067411021601,3
E05000304,0.41634542546329056,3
E05000305,0.49775819828369566,3
E05000306,0.47039989192753034,3
E05000307,0.5590059602076586,2
E05000308,0.5752448817591119,3
E05000309,0.5719253297811419,3
E05000310,0.6382856834897404,3
E05000311,0.49622879786341184,3
E05000312,0.5409011372924327,3
E05000313,0.6607742622280545,3
E05000314,0.532605686528906,3
E05000315,0.5200320686896246,3
E05000316,0.5102041845599778,3
E05000317,0.5694837340229912,3
E05000318,0.43984637253091874,3
E05000319,0.39917489110303733,3
E05000320,0.48239939162064854,3
E05000321,0.372362063505245,3
E05000322,0.5129847086941145,3
E05000323,0.5331272491338923,2
E05000324,0.5079163324014737,3
E05000325,0.45720443015779616,3
E05000326,0.5203939369853074,3
E05000327,0.5138500794144552,3
E05000328,0.560778819123518,3
E05000329,0.6124093262884684,3
E05000330,0.6792746693595517,3
E05000331,0.39168487635745447,3
E05000332,0.5941970744310997,3
E05000333,0.6449984176453124,3
E05000334,0.5018615309317254,3
E05000335,0.683990566696798,3
E05000336,0.5991721759334219,3
E05000337,0.4643897606546156,3
E05000338,0.5213881953806343,3
E05000339,0.4608965956181734,3
E05000340,0.5714975548866335,3
E05000341,0.4832459876971316,3
E05000342,0.5251850868975448,3
E05000343,0.6090363793645642,3
E05000344,0.524304042356508,3
E05000345,0.5315004233643942,3
E05000346,0.5065070484666795,3
E05000347,0.5071272026582553,3
E05000348,0.4649955465546303,3
E05000349,0.5136635669919475,3
E05000350,0.4616618948963855,3
E05000351,0.48272738530284914,3
E05000352,0.5351051005634315,3
E05000353,0.529993099886564,3
E05000354,0.5383916211092514,3
E05000355,0.4609746919021194,3
E05000356,0.5055514829374502,3
E05000357,0.4852609506077658,3
E05000358,0.4062307474419003,3
E05000359,0.5484199522701382,3
E05000360,0.43073378198445794,3
E05000361,0.375417321279442,3
E05000362,0.45083410240073446,3
E05000363,0.5699848170615769,3
E05000364,0.5043632882625163,3
E05000365,0.40464533958187765,3
E05000366,0.3691600923958192,3
E05000367,0.24720847135990773,3
E05000368,0.3085800967973169,3
E05000369,0.45373331135484546,3
E05000370,0.27851326682242594,3
E05000371,0.33097199621196327,3
E05000372,0.47046615073178666,3
E05000373,0.35858941994189514,3
E05000374,0.4635659295793788,3
E05000375,0.38042482322181503,3
E05000376,0.39516779519221873,3
E05000377,0.44473825779211124,3
E05000378,0.4356347475083853,3
E05000379,0.3539903902096369,3
E05000380,0.3218389652040908,3
E05000381,0.4004696604885892,3
E05000382,0.30747860277204103,3
E05000383,0.2782658576531364,3
E05000384,0.4071309368527143,3
E05000385,0.31183161456987496,3
E05000386,0.30515348279917315,3
E05000387,0.21938200948840159,3
E05000388,0.28176135067558505,3
E05000389,0.37938661161234605,3
E05000390,0.25041032110139566,3
E05000391,0.4386388509482854,3
E05000392,0.40513470118377465,3
E05000393,0.34156389377919844,3
E05000394,0.3661315176356282,3
E05000395,0.26278027038836704,3
E05000396,0.42280159850701343,3
E05000397,0.3097657753549539,3
E05000398,0.3900251901803962,3
E05000399,0.30047002946616647,3
E05000400,0.5797927527802172,3
E05000401,0.5362483614159542,3
E05000402,0.5203457842378773,3
E05000403,0.4132361705990762,3
E05000404,0.5097933088257811,3
E05000405,0.5987329046168951,3
E05000406,0.6319916295332674,3
E05000407,0.5301200576633344,3
E05000408,0.41209146256700163,3
E05000409,0.4739553762514393,3
E05000410,0.5378522929736756,3
E05000411,0.5508044665227144,3
E05000412,0.49791064777666055,3
E05000413,0.5403850919171226,3
E05000414,0.5158808958983777,3
E05000415,0.4961391168546192,3
E05000416,0.21807763237139702,3
E05000417,0.3684577953821302,3
E05000418,0.4620287476113613,3
E05000419,0.3859629114962284,3
E05000420,0.37418369788462397,3
E05000421,0.31084463307059473,3
E05000422,0.5021658998695538,3
E05000423,0.4779003517610767,3
E05000424,0.4436242801371044,3
E05000425,0.36722107356324574,3
E05000426,0.33142024434148193,3
E05000427,0.30897680949070955,3
E05000428,0.42138155153714685,3
E05000429,0.38879874518624263,3
E05000430,0.4484925832495808,3
E05000431,0.4685668713455266,3
E05000432,0.47800790784206676,3
E05000433,0.4432121224875217,3
E05000434,0.4824051921388626,3
E05000435,0.4314045587517792,3
E05000436,0.3876896378753165,3
E05000437,0.5538077365368729,3
E05000438,0.5523426090171292,3
E05000439,0.4620010865345913,3
E05000440,0.45112548333556585,3
E05000441,0.4591130378883895,3
E05000442,0.527643353243763,3
E05000443,0.29221059865827903,3
E05000444,0.534767091374209,3
E05000445,0.5292658885855549,3
E05000446,0.5229825174209619,3
E05000447,0.4683257724533217,3
E05000448,0.4099422189448066,3
E05000449,0.3330256123365058,3
E05000450,0.482898965237007,3
E05000451,0.4521547307838092,3
E05000452,0.512611042486227,3
E05000453,0.46632498900957425,3
E05000454,0.49889644857733734,3
